Tiêu đề,Mô tả,Trạng thái,Ngày hết hạn
Thiết kế giao diện trang chủ,Thiết kế UI/UX cho trang chủ website mới,pending,2025-11-08
Viết unit test,Viết test cases cho module task management,in-progress,2025-11-04
Tối ưu hiệu năng,Cải thiện tốc độ load trang và xử lý,pending,2025-11-10
Phỏng vấn ứng viên,Phỏng vấn 3 ứng viên vị trí Frontend Developer,pending,2025-11-01
Chuẩn bị demo,Chuẩn bị bài demo cho buổi presentation với khách hàng,in-progress,2025-10-30
Nghiên cứu công nghệ mới,Tìm hiểu về React Server Components,pending,2025-11-15
Xử lý feedback,Xử lý các góp ý từ user về tính năng mới,pending,2025-11-05
Refactor code cũ,Cải thiện code cũ theo chuẩn mới,in-progress,2025-11-07
Họp với PM,Thảo luận roadmap sản phẩm quý 4,completed,2025-10-25
Training nhân viên mới,Hướng dẫn quy trình làm việc cho nhân viên mới,pending,2025-11-02

